158|1|60g
158|145|20g
158|146|10g
158|15|1g
158|7|1g
158|26|1g
158|4|1g
158|14|0.5g
158|19|0.5g
159|1|70g
159|147|60g
159|95|3g
159|7|2g
159|4|2g
159|15|1g
159|19|0.3g
160|1|90g
160|75|10g
160|148|5g
160|18|2g
160|34|1g
161|1|90g
161|145|30g
161|146|20g
161|114|10g
161|149|2g
161|150|0.1g
161|7|0.1g
162|1|80g
162|151|30g
162|114|15g
162|92|8g
162|32|1g
163|1|70g
163|75|10g
163|83|5g
163|84|5g
163|34|5g
163|92|5g
163|57|5g
163|114|3g
163|9|0.2g
164|1|80g
164|147|15g
164|18|10g
164|75|10g
164|34|5g
164|95|2g
164|7|1g
164|23|1g
165|1|60g
165|90|30g
165|92|3g
165|58|2g
166|1|80g
166|152|60g
166|119|20g
166|114|15g
166|92|5g
166|32|1g
167|1|80g
167|85|20g
167|84|15g
167|114|10g
167|153|10g
167|83|10g
167|104|5g
167|34|5g
167|9|1g
168|1|60g
168|75|10g
168|154|5g
168|83|5g
168|84|5g
168|92|5g
169|1|60g
169|2|30g
169|155|25g
169|114|10g
169|86|1g
169|26|0.5g
169|32|0.1g
170|1|80g
170|156|30g
170|7|10g
170|157|10g
170|15|2g
170|95|2g
170|99|2g
170|4|2g
170|8|2g
170|26|0.5g
170|14|0.5g
171|2|60g
171|1|60g
171|114|10g
171|86|1g
171|26|0.5g
171|32|0.1g
172|1|80g
172|85|20g
172|84|15g
172|153|10g
172|83|10g
172|104|5g
172|114|5g
172|34|5g
172|9|1g
172|95|1g
173|90|250g
173|75|100g
173|57|40g
173|58|18g
173|121|10g
173|7|6g
173|26|10g
173|158|5g
174|159|15g
174|1|50g
174|160|5g
174|161|10g
174|162|15g
174|29|15g
174|163|50g
174|8|3g
174|15|2g
174|26|15g
175|1|100g
175|164|15g
175|85|50g
175|165|300g
175|166|10g
175|167|15g
175|24|15g
175|29|15g
175|7|15g
176|1|100g
176|168|10g
176|169|20g
176|26|30g
176|163|50g
176|28|15g
176|167|5g
176|24|5g
176|8|2g
176|4|2g
176|14|2g
177|13|40g
177|10|210g
177|125|30g
177|170|50g
177|127|5g
177|29|10g
177|34|5g
177|19|3g
177|26|2g
177|20|1g
177|31|1g
178|10|210g
178|13|40g
178|17|20g
178|127|5g
178|19|3g
178|26|2g
178|20|0.5g
179|10|210g
179|143|10g
179|170|50g
179|171|20g
179|172|20g
179|17|20g
179|14|1g
179|19|1g
179|20|0.5g
179|26|1g
179|127|0g
180|10|210g
180|143|10g
180|125|15g
180|173|20g
180|171|20g
180|17|20g
180|132|20g
180|19|3g
180|26|3g
180|7|1g
180|14|1g
180|20|0.5g
180|127|0g
180|31|1g
181|10|210g
181|126|30g
181|143|10g
181|170|50g
181|123|30g
